"Frequency (Hz)","Absolute Amplitude (a.u.)"
1.811718750E4,3.771413755E-2
1.814062500E4,3.164724397E-2
1.816406250E4,3.274214597E-2
1.818750000E4,1.960277393E-2
1.821093750E4,2.051311148E-2
1.823437500E4,2.711675964E-2
1.825781250E4,2.851085871E-2
1.828125000E4,3.592920850E-2
1.830468750E4,3.201211777E-2
1.832812500E4,2.275349228E-2
1.835156250E4,2.261322533E-2
1.837500000E4,2.056920437E-2
1.839843750E4,1.927010934E-2
1.842187500E4,1.140926760E-2
1.844531250E4,2.023766745E-2
1.846875000E4,2.178331620E-2
1.849218750E4,2.216210277E-2
1.851562500E4,3.077959252E-2
1.853906250E4,2.513627955E-2
1.856250000E4,1.577480031E-2
1.858593750E4,1.928080037E-2
1.860937500E4,1.780350180E-2
1.863281250E4,2.541365778E-2
1.865625000E4,2.898337085E-2
1.867968750E4,3.143713200E-2
1.870312500E4,2.023478009E-2
1.872656250E4,1.426826705E-2
1.875000000E4,2.018218815E-2
1.877343750E4,1.905101728E-2
1.879687500E4,1.498575906E-2
1.882031250E4,2.119947103E-2
1.884375000E4,2.350638538E-2
1.886718750E4,3.370250732E-2
1.889062500E4,3.535569034E-2
1.891406250E4,2.798526510E-2
1.893750000E4,1.821614868E-2
1.896093750E4,1.861029858E-2
1.898437500E4,1.217197107E-2
1.900781250E4,2.508373951E-2
1.903125000E4,2.799978106E-2
1.905468750E4,2.541215826E-2
1.907812500E4,2.570531241E-2
1.910156250E4,1.954591502E-2
1.912500000E4,2.606566287E-2
1.914843750E4,2.259784041E-2
