"Time (s)","Recording (a.u.)"
1.306250000E-2,-3.203824908E-2
1.308333333E-2,-2.946283855E-2
1.310416667E-2,-2.877176553E-2
1.312500000E-2,-2.763163485E-2
1.314583333E-2,-2.545319870E-2
1.316666667E-2,-2.400525287E-2
1.318750000E-2,-2.108587883E-2
1.320833333E-2,-1.878755540E-2
1.322916667E-2,-1.994758099E-2
1.325000000E-2,-1.947753131E-2
1.327083333E-2,-1.753379777E-2
1.329166667E-2,-1.834027097E-2
1.331250000E-2,-1.934403740E-2
1.333333333E-2,-1.957049221E-2
1.335416667E-2,-2.031056955E-2
1.337500000E-2,-2.030048147E-2
1.339583333E-2,-2.098057978E-2
1.341666667E-2,-2.259922959E-2
1.343750000E-2,-2.252469584E-2
1.345833333E-2,-2.294179983E-2
1.347916667E-2,-2.467546239E-2
1.350000000E-2,-2.504153177E-2
1.352083333E-2,-2.514842711E-2
1.354166667E-2,-2.477074414E-2
1.356250000E-2,-2.271470800E-2
1.358333333E-2,-2.153094299E-2
1.360416667E-2,-2.237732336E-2
1.362500000E-2,-2.394121513E-2
1.364583333E-2,-2.425578237E-2
1.366666667E-2,-2.247418091E-2
1.368750000E-2,-2.072651871E-2
1.370833333E-2,-2.097712457E-2
1.372916667E-2,-2.236904949E-2
1.375000000E-2,-2.363663167E-2
1.377083333E-2,-2.527001873E-2
1.379166667E-2,-2.601856366E-2
1.381250000E-2,-2.447491512E-2
1.383333333E-2,-2.388524264E-2
1.385416667E-2,-2.547882311E-2
1.387500000E-2,-2.585802041E-2
1.389583333E-2,-2.452380024E-2
1.391666667E-2,-2.423777245E-2
1.393750000E-2,-2.578147314E-2
1.395833333E-2,-2.697352879E-2
1.397916667E-2,-2.682034671E-2
1.400000000E-2,-2.686555684E-2
1.402083333E-2,-2.721503377E-2
1.404166667E-2,-2.741471678E-2
1.406250000E-2,-2.789783850E-2
1.408333333E-2,-2.747504413E-2
1.410416667E-2,-2.693165839E-2
1.412500000E-2,-2.869729325E-2
1.414583333E-2,-3.073998354E-2
1.416666667E-2,-3.055151179E-2
1.418750000E-2,-2.920782752E-2
1.420833333E-2,-2.786458284E-2
1.422916667E-2,-2.587700821E-2
1.425000000E-2,-2.402403578E-2
1.427083333E-2,-2.402245998E-2
1.429166667E-2,-2.417759225E-2
1.431250000E-2,-2.354432084E-2
1.433333333E-2,-2.255526558E-2
1.435416667E-2,-2.138851583E-2
1.437500000E-2,-2.117444947E-2
1.439583333E-2,-1.940377802E-2
1.441666667E-2,-1.730308123E-2
1.443750000E-2,-1.849769615E-2
1.445833333E-2,-1.794908196E-2
1.447916667E-2,-1.577937976E-2
1.450000000E-2,-1.619372889E-2
1.452083333E-2,-1.560828183E-2
1.454166667E-2,-1.342476159E-2
1.456250000E-2,-1.255364716E-2
1.458333333E-2,-1.238384657E-2
1.460416667E-2,-1.098005101E-2
1.462500000E-2,-7.977114059E-3
1.464583333E-2,-5.170722492E-3
1.466666667E-2,-2.779635135E-3
1.468750000E-2,-3.948577214E-4
1.470833333E-2,3.138852189E-4
1.472916667E-2,-2.143078600E-4
1.475000000E-2,5.094185472E-4
1.477083333E-2,2.188536804E-3
1.479166667E-2,2.867984120E-3
1.481250000E-2,2.678534249E-3
1.483333333E-2,3.161811968E-3
1.485416667E-2,4.209055100E-3
1.487500000E-2,3.818888916E-3
1.489583333E-2,2.899375977E-3
1.491666667E-2,4.538214765E-3
1.493750000E-2,6.560218520E-3
1.495833333E-2,5.752624944E-3
1.497916667E-2,4.482873715E-3
1.500000000E-2,4.111209884E-3
1.502083333E-2,3.002788639E-3
1.504166667E-2,2.051438438E-3
1.506250000E-2,2.073488897E-3
1.508333333E-2,1.991908066E-3
1.510416667E-2,2.223862801E-3
1.512500000E-2,2.748312894E-3
1.514583333E-2,3.024144797E-3
1.516666667E-2,2.908405382E-3
1.518750000E-2,1.110695768E-3
1.520833333E-2,-6.657587364E-4
1.522916667E-2,-6.725512212E-4
1.525000000E-2,-1.610776177E-3
1.527083333E-2,-2.909445670E-3
1.529166667E-2,-2.348093782E-3
1.531250000E-2,-1.715029124E-3
1.533333333E-2,-2.030883217E-3
1.535416667E-2,-3.106731223E-3
1.537500000E-2,-4.550465848E-3
1.539583333E-2,-5.213875324E-3
1.541666667E-2,-5.502370186E-3
1.543750000E-2,-4.940839484E-3
1.545833333E-2,-2.813679865E-3
1.547916667E-2,-2.251622267E-3
1.550000000E-2,-3.717564978E-3
1.552083333E-2,-3.555706004E-3
1.554166667E-2,-2.504813951E-3
1.556250000E-2,-1.757435733E-3
1.558333333E-2,1.059206203E-3
1.560416667E-2,4.700865597E-3
1.562500000E-2,6.728921086E-3
