"Time (s)","Sound pressure level (dB)"
3.126050075E2,-2.083464993E1
3.127106355E2,-1.946917159E1
3.128184826E2,-1.961001365E1
3.129272139E2,-2.056619241E1
3.130328496E2,-2.212650762E1
3.131438050E2,-2.365186889E1
3.132501181E2,-1.834318726E1
3.133605553E2,-1.724074299E1
3.134684758E2,-2.107054885E1
3.135772320E2,-2.134875992E1
3.136855649E2,-2.302919413E1
3.137938655E2,-2.027423417E1
3.139022640E2,-2.092549812E1
3.140105832E2,-2.285402347E1
3.141192050E2,-2.219205881E1
3.142271621E2,-2.352064302E1
3.143355270E2,-2.171472146E1
3.144438688E2,-2.191677411E1
3.145521971E2,-1.932629748E1
3.146605162E2,-2.103318476E1
3.147687875E2,-2.392019558E1
3.148791817E2,-2.326106517E1
3.149813295E2,-2.159639633E1
3.150916699E2,-2.150459024E1
3.151938696E2,-2.408288799E1
3.152981209E2,-2.721493232E1
3.154022460E2,-2.130095212E1
3.155105692E2,-2.220875899E1
3.156189194E2,-2.294903868E1
3.157271642E2,-2.345286202E1
3.158323035E2,-2.271341776E1
3.159355423E2,-2.559217786E1
3.160439298E2,-2.145443403E1
3.161476822E2,-2.381121932E1
3.162522151E2,-2.289965647E1
3.163605909E2,-2.320844231E1
3.164688667E2,-2.398895696E1
3.165772446E2,-2.542445068E1
3.166791749E2,-2.120087093E1
3.167904430E2,-2.227068883E1
3.168938820E2,-2.081489044E1
3.169991912E2,-2.252755392E1
3.171058908E2,-2.591764569E1
3.172105451E2,-2.472089022E1
3.173202733E2,-2.003447514E1
3.174271769E2,-2.223071496E1
3.175354683E2,-1.941802967E1
3.176439022E2,-1.834860918E1
3.177522044E2,-2.055191566E1
3.178604951E2,-1.755660230E1
3.179689212E2,-1.981815518E1
3.180771745E2,-2.157526324E1
3.181855406E2,-2.257190483E1
3.182939163E2,-1.722338700E1
3.183996470E2,-1.725794217E1
3.185105455E2,-1.879521169E1
3.186205245E2,-1.758969384E1
3.187271576E2,-1.926446767E1
3.188355702E2,-1.890933344E1
3.189438563E2,-1.828931842E1
3.190521927E2,-1.899336785E1
3.191605848E2,-1.943697923E1
3.192625922E2,-1.508420721E1
3.193646018E2,-2.096387566E1
3.194757455E2,-1.864750421E1
3.195856632E2,-1.856731718E1
3.196965937E2,-2.066949763E1
3.198037725E2,-1.954535613E1
3.199106488E2,-2.248487910E1
3.200178274E2,-2.040089702E1
3.201272643E2,-1.980767457E1
3.202311565E2,-1.728708969E1
3.203372175E2,-1.891179493E1
3.204438873E2,-2.014898743E1
3.205541110E2,-2.128990112E1
3.206641542E2,-1.906528428E1
3.207737485E2,-1.981693733E1
3.208836881E2,-1.995023418E1
3.209938953E2,-2.112466831E1
3.211026615E2,-2.166027599E1
3.212106512E2,-2.191594483E1
3.213189020E2,-2.314256751E1
3.214272835E2,-1.966788159E1
3.215375365E2,-2.202829401E1
3.216439403E2,-2.338498768E1
3.217522070E2,-2.343343638E1
3.218606173E2,-2.433343085E1
3.219665557E2,-2.038857950E1
3.220772441E2,-2.466761234E1
3.221855291E2,-2.258410133E1
3.222938629E2,-2.299148579E1
3.224022208E2,-2.241395417E1
3.225126541E2,-2.022220932E1
3.226205065E2,-1.984147587E1
3.227271664E2,-2.158316733E1
3.228375040E2,-1.833726515E1
3.229438739E2,-2.201236389E1
3.230486727E2,-2.197211738E1
3.231598245E2,-2.128823376E1
3.232688930E2,-1.825687042E1
3.233771929E2,-2.000276769E1
3.234875065E2,-1.974932171E1
3.235938461E2,-2.169910094E1
3.236965460E2,-2.020618271E1
3.237984467E2,-2.211323679E1
3.239006220E2,-1.818830498E1
3.240104890E2,-1.764142047E1
3.241188915E2,-2.014161938E1
3.242271033E2,-2.195905702E1
3.243312751E2,-2.039958719E1
3.244405763E2,-2.058953066E1
3.245439871E2,-2.034248265E1
3.246521988E2,-2.062264306E1
3.247626424E2,-2.395009440E1
3.248647621E2,-1.989135340E1
3.249668942E2,-1.979107485E1
3.250772531E2,-2.184377365E1
3.251855625E2,-1.975815087E1
3.252938846E2,-1.742587936E1
3.254022811E2,-2.104287035E1
3.255106508E2,-2.059062662E1
3.256188471E2,-2.258954231E1
3.257271816E2,-2.391862227E1
