"t (s)","Inclination (deg)","Rotation (deg)"
2.770973505E2,3.575558868E0,1.731129637E2
2.775973620E2,4.623219820E0,1.716281318E2
2.780973730E2,4.619481892E0,1.774352368E2
2.790973931E2,6.136690803E0,1.779428348E2
2.795974045E2,4.923754013E0,1.739040382E2
2.800974155E2,4.703552344E0,1.746782452E2
2.805974260E2,4.521386548E0,1.733600010E2
2.810974360E2,4.628871273E0,1.747765555E2
2.815974463E2,6.134938739E0,1.761974890E2
2.820974563E2,6.694645537E0,1.757808431E2
2.825974663E2,6.785946267E0,1.753643360E2
2.830974753E2,5.846101037E0,1.754607298E2
2.835974838E2,4.856854886E0,1.738841265E2
2.840974928E2,4.727925981E0,1.750538290E2
2.845975018E2,5.005352769E0,1.730054234E2
2.850975108E2,4.541347555E0,1.735692074E2
2.855975191E2,2.225917884E0,1.745133322E2
2.860975271E2,3.452922041E-1,5.193296417E1
2.865975347E2,3.754901910E-1,1.668632814E1
2.870975427E2,3.818926254E-1,2.389516141E1
2.875975498E2,4.491518371E-1,3.444432933E1
2.880975568E2,4.467775404E-1,1.700285264E1
2.885978108E2,4.828446512E-1,3.712137714E1
2.890982788E2,4.048707939E-1,3.306580407E1
2.895987497E2,3.644072999E-1,3.584389704E1
